Oxygen Concentration,Humidity,Temperature,Wind Speed,Fire Intensity,Heat Release Rate
30,80,20,7,83.62,111.67
20,80,20,5,90.36,120.67
15,20,40,20,76.88,102.67
24,20,20,20,83.62,111.67
22,20,20,5,83.62,111.67
25,40,20,5,83.62,111.67
15,80,40,7,90.36,120.67
15,80,27,5,101.59,135.67
30,20,29,20,90.36,120.67
15,20,23,5,90.36,120.67
30,80,40,12,97.2,129.67
15,80,33,5,97.2,129.67
26,20,40,20,90.36,120.67
15,54,40,5,90.36,120.67
24,20,40,20,83.62,111.67
30,20,20,10,90.36,120.67
15,20,20,7,90.36,120.67
30,34,40,20,83.62,111.67
15,80,37,5,90.36,120.67
15,80,40,17,97.2,129.67
27,80,40,20,97.2,129.67
24,80,20,5,76.88,102.67
30,20,40,13,90.36,120.67
15,80,21,5,90.36,120.67
15,80,39,20,121.81,162.67
30,57,40,5,83.62,111.67
26,80,20,5,76.88,102.67
28,80,20,5,90.36,120.67
15,20,20,18,83.62,111.67
15,80,40,10,97.2,129.67
30,80,22,5,97.2,129.67
15,20,38,5,83.62,111.67
30,20,40,8,97.2,129.67
30,67,20,20,83.62,111.67
17,80,20,20,83.62,111.67
15,27,40,20,83.62,111.67
30,27,40,5,108.33,144.67
22,80,20,20,76.88,102.67
28,80,40,20,83.62,111.67
15,40,40,5,83.62,111.67
15,44,40,20,83.62,111.67
15,54,40,20,76.88,102.67
15,40,20,5,83.62,111.67
30,20,24,20,83.62,111.67
30,30,40,20,90.36,120.67
15,80,40,12,97.2,129.67
20,40,20,5,90.36,120.67
15,20,30,5,83.62,111.67
30,80,20,20,83.62,111.67
27,80,20,5,90.36,120.67
19,80,20,5,90.36,120.67
17,80,40,20,83.62,111.67
16,20,20,20,83.62,111.67
30,80,24,5,90.36,120.67
15,30,40,5,90.36,120.67
27,20,20,20,83.62,111.67
16,80,40,20,83.62,111.67
15,80,22,5,83.62,111.67
29,20,40,20,76.88,102.67
30,74,20,20,76.88,102.67
26,80,40,20,97.2,129.67
18,20,20,5,83.62,111.67
15,44,40,5,83.62,111.67
30,30,40,5,83.62,111.67
30,20,20,7,97.2,129.67
15,20,29,5,83.62,111.67
15,80,20,7,90.36,120.67
30,80,40,10,83.62,111.67
15,80,35,20,101.59,135.67
15,24,20,5,90.36,120.67
30,57,40,20,76.88,102.67
30,27,20,20,83.62,111.67
30,80,20,11,97.2,129.67
23,20,20,5,83.62,111.67
15,30,20,5,76.88,102.67
30,80,27,20,90.36,120.67
26,80,20,20,83.62,111.67
15,20,34,5,76.88,102.67
15,80,40,5,97.2,129.67
30,54,40,5,101.59,135.67
22,80,20,5,76.88,102.67
15,20,21,5,83.62,111.67
30,60,40,20,83.62,111.67
30,74,40,5,90.36,120.67
21,80,20,5,90.36,120.67
15,80,30,20,83.62,111.67
15,64,40,20,76.88,102.67
15,80,35,5,90.36,120.67
15,80,29,20,90.36,120.67
30,64,20,20,76.88,102.67
20,20,40,20,83.62,111.67
15,20,20,11,83.62,111.67
21,80,20,20,76.88,102.67
16,20,40,20,76.88,102.67
