s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-1.0956085E-003,-2.2183145E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1177917E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.1225320E-001, 0.0000000E+000,-6.6941721E-006,-3.2327352E-001, 0.0000000E+000,-2.0253636E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2581657E-001, 0.0000000E+000, 1.0545890E-001, 0.0000000E+000
 8.2450640E-001, 3.9194697E+003,-5.2419004E-006, 6.6626756E+001,-3.5832258E-007,-2.8493807E-001, 0.0000000E+000, 0.0000000E+000,-7.2021842E-001, 3.9858115E+003, 0.0000000E+000, 1.8302485E-001, 0.0000000E+000
 1.2367597E+000, 9.0638983E+003,-4.6667221E+002, 1.4626956E+002,-3.4643221E+000,-5.8382368E-001, 0.0000000E+000, 0.0000000E+000, 3.9658938E+003, 8.7394475E+003, 0.0000000E+000, 2.2814216E-001, 0.0000000E+000
 1.6490128E+000, 2.1187222E+004,-2.1052666E+003, 3.3025151E+002,-1.8236225E+001,-6.9966940E-001, 0.0000000E+000, 0.0000000E+000, 8.6780433E+003, 1.9393271E+004, 0.0000000E+000, 2.5088621E-001, 0.0000000E+000
 2.0612659E+000, 3.1963829E+004,-9.1164635E+003, 3.8594444E+002,-4.6817520E+001,-7.9462692E-001, 0.0000000E+000, 0.0000000E+000, 1.9042185E+004, 2.3185698E+004, 0.0000000E+000, 2.6152649E-001, 0.0000000E+000
 2.2527268E+000, 3.2989264E+004,-2.6176954E+004, 1.2242077E+002,-8.0222582E+001,-8.0850549E-001, 0.0000000E+000, 0.0000000E+000, 2.2957687E+004, 6.8537000E+003, 0.0000000E+000, 2.6423721E-001, 0.0000000E+000
 2.4441876E+000, 2.4658695E+004,-1.2920418E+004, 1.9791879E+002,-7.1673864E+001,-8.1517367E-001, 0.0000000E+000, 0.0000000E+000, 6.8624761E+003, 1.1863707E+004, 0.0000000E+000, 2.6610147E-001, 0.0000000E+000
 2.6547947E+000, 1.9667702E+004,-1.2381869E+004, 1.2675053E+002,-7.6918506E+001,-8.1216555E-001, 0.0000000E+000, 0.0000000E+000, 1.1842636E+004, 7.3348531E+003, 0.0000000E+000, 2.6748334E-001, 0.0000000E+000
