,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2025-06-24T09:43:09.783+08:00, 0.412E+00,   0.41225, 0.32656E+01
       2,2025-06-24T09:43:09.889+08:00, 0.412E+00,   0.82451, 0.33281E+01
       3,2025-06-24T09:43:10.001+08:00, 0.412E+00,   1.23676, 0.33906E+01
       4,2025-06-24T09:43:10.074+08:00, 0.412E+00,   1.64901, 0.34062E+01
       5,2025-06-24T09:43:10.137+08:00, 0.412E+00,   2.06127, 0.34375E+01
       6,2025-06-24T09:43:10.254+08:00, 0.191E+00,   2.25273, 0.35156E+01
       7,2025-06-24T09:43:10.369+08:00, 0.191E+00,   2.44419, 0.35781E+01
       8,2025-06-24T09:43:10.452+08:00, 0.211E+00,   2.65479, 0.35938E+01
       9,2025-06-24T09:43:10.549+08:00, 0.211E+00,   2.86540, 0.36406E+01
      10,2025-06-24T09:43:10.660+08:00, 0.171E+00,   3.03689, 0.37031E+01
      20,2025-06-24T09:43:11.157+08:00, 0.103E+00,   4.30082, 0.41562E+01
      30,2025-06-24T09:43:11.640+08:00, 0.901E-01,   5.25197, 0.45781E+01
      40,2025-06-24T09:43:12.212+08:00, 0.799E-01,   6.14273, 0.50781E+01
      50,2025-06-24T09:43:12.715+08:00, 0.879E-01,   6.96567, 0.54688E+01
      60,2025-06-24T09:43:13.205+08:00, 0.879E-01,   7.84455, 0.59062E+01
      70,2025-06-24T09:43:13.651+08:00, 0.879E-01,   8.72342, 0.63438E+01
      80,2025-06-24T09:43:14.121+08:00, 0.769E-01,   9.58035, 0.67188E+01
      90,2025-06-24T09:43:14.646+08:00, 0.931E-01,  10.42719, 0.72031E+01
     100,2025-06-24T09:43:15.181+08:00, 0.931E-01,  11.35788, 0.76719E+01
     200,2025-06-24T09:43:19.851+08:00, 0.978E-01,  21.04141, 0.11938E+02
     300,2025-06-24T09:43:24.718+08:00, 0.106E+00,  30.98219, 0.16359E+02
     400,2025-06-24T09:43:29.831+08:00, 0.942E-01,  41.03281, 0.20953E+02
     500,2025-06-24T09:43:35.066+08:00, 0.987E-01,  50.99322, 0.25500E+02
     593,2025-06-24T09:43:40.151+08:00, 0.586E-01,  60.00000, 0.29688E+02
